order_id,customer_id,product_id,order_date,quantity,unit_price,payment_status
1001,C001,P001,2026-04-01,2,15.50,paid
1001,C001,P002,2026-04-01,1,22.00,paid
1002,C002,P003,2026-04-01,3,8.00,failed
1003,C001,P001,2026-04-02,1,15.50,paid
1004,C003,P004,2026-04-02,2,,paid
1005,C004,P002,2026-04-02,,22.00,paid
1006,C002,P005,2026-04-03,4,5.75,pending
1007,C005,P006,2026-04-03,1,100.00,paid
1007,C005,P006,2026-04-03,1,100.00,paid
1008,C003,P001,2026-04-03,2,15.50,paid
1009,C006,P007,2026-04-04,1,250.00,failed
1010,C002,P003,2026-04-04,2,8.00,paid
1011,C007,P008,2026-04-04,5,12.40,paid
1012,C001,P009,2026-04-05,1,60.00,refunded
1013,C004,P002,2026-04-05,2,22.00,paid
1014,C008,P010,2026-04-05,3,9.99,paid
1015,C009,P011,2026-04-06,1,18.25,pending
1016,C003,P004,2026-04-06,2,30.00,paid
1017,C010,P012,2026-04-06,1,75.00,failed
1018,C002,P005,2026-04-07,6,5.75,paid
1019,C011,P001,2026-04-07,2,15.50,paid
1020,C012,P013,2026-04-07,1,200.00,paid
